market,symbol,name,ai_state,confidence,evidence_axes,trend_evidence,sustainability_evidence,price_position,risk,evidence_used
US,NVDA,NVIDIA,SELECT_NOW,HIGH,Trend;Sustainability;PricePosition;Risk,Sep25 close 224.58; 30D +5.53%; ~5.1% below 52w high,Q2 FY27 revenue 96.2B +106% YoY; Data Center 89.0B +117%; Q3 guide 108B,Near highs but not vertically extended like AMD,AI capex concentration / policy / valuation risk,Fresh scan rank; Sep25 price history; NVIDIA official Q2 results
US,LLY,Eli Lilly,SELECT_NOW,HIGH,Trend;Sustainability;PricePosition;Risk,Sep25 around 1183; 30D -4.2%; ~8.6% below 52w high,Q2 revenue 23.0B +48%; full-year revenue guidance raised to 85-87B,Healthy reset from August high rather than chase,Intense obesity-drug competition and product concentration,Fresh scan rank; Sep25 price metrics; Lilly Q2 results
KR,000150,두산,SELECT_NOW,MEDIUM_HIGH,Trend;Sustainability;PricePosition;Risk,"Sep23 1,512,000; 1M +39.35%; 6M +31.36%; ~39% below 52w high",AI-server/network CCL demand; 1T KRW expansion and share-retirement program,Reacceleration from July low with room below prior high,Rapid rebound since late July; conglomerate/valuation risk,Fresh current-run KR score; Sep23 price; recent AI-material/capex news
KR,036930,주성엔지니어링,STABILIZING,MEDIUM_HIGH,Trend;Sustainability;PricePosition;Risk,"Sep23 209,500; 1M +26.20%; 3M +14.86%; 6M +170.67%; ~26% below 52w high",Semiconductor equipment exposure; strong sector leadership,Five sessions around 192.8k-209.5k shows hold/reacceleration rather than one-day spike,Long 6M run and source disagreement on foreign flow direction,Fresh score; Sep23 price history; KRX/market flow cross-check
KR,001820,삼화콘덴서,STABILIZING,MEDIUM_HIGH,Trend;Sustainability;PricePosition;Risk,"Sep23 146,900; 1M +58.98%; 3M +8.01%; ~25% below 52w high",AI-server MLCC shortage/supercycle supports component demand,Flat Sep23 after strong month; not at 52w high,1M move already large; older consensus target data inconsistent with current price,Fresh score; Sep23 price; MLCC industry catalyst
US,GOOGL,Alphabet A,STABILIZING,MEDIUM_HIGH,Trend;Sustainability;PricePosition;Risk,Sep25 close 343.92; positive latest session,Gemini/AI product expansion including Googlebook launch,Below earlier 2026 highs; not an extreme vertical move,AI capex/regulatory/safety competition; source history inconsistencies,Fresh scan rank; Sep25 verified close; Reuters current AI product context
US,V,Visa,STABILIZING,MEDIUM,Trend;Sustainability;PricePosition;Risk,Sep25 367.94; 30D -4.21%; 4.56% below 52w high,Large payments franchise; stable transaction-growth base,Pullback/recovery profile reduces chase risk,Lower momentum than AI leaders,Fresh scan rank; Sep25 price history
US,AMD,WAIT_FOR_PULLBACK,HIGH_TREND_LOW_TIMING,Trend;Sustainability;PricePosition;Risk,Sep25 629.26; 30D +31.32%; YTD +193.83%; 0.24% below 52w high,AI systems expansion and server CPU share gains,Price essentially at record high,Extreme overextension / reversal risk,Fresh scan rank; Reuters AI demand; Sep25 price metrics
US,MU,WAIT_EVENT,MEDIUM_HIGH,Trend;Sustainability;PricePosition;Risk,Sep24 1080.53 after strong September run,Record Q3; HBM4 high-volume shipments; Q4 guide strong,Strong but event-sensitive,Sep30 earnings call creates near-term binary event,Fresh scan rank; Micron IR; Sep24 history
KR,222800,심텍,WAIT_FOR_PULLBACK,MEDIUM,Trend;Sustainability;PricePosition;Risk,"Sep23 149,500; 1M +42.11%; 3M +27.02%; ~9% below 52w high",Semiconductor/PCB cycle exposure and strong recent foreign ownership increase,Near 52w high after sharp Sep22 jump,Current price exceeds stale consensus target; chase risk,Fresh scan rank; Sep23 price/foreign holdings
KR,095610,테스,WAIT_FOR_PULLBACK,MEDIUM_HIGH,Trend;Sustainability;PricePosition;Risk,"Sep23 161,900 +8.95%; 1W +19.31%; 6M +156.98%",Record order backlog; HBM/DRAM/NAND equipment expansion; 2026 op profit outlook strong,Breakout day at session high,Immediate chase risk after +8.95% day,Sep23 price; recent IBK/Hana research context
KR,229640,LS에코에너지,WATCH,MEDIUM,Trend;Sustainability;PricePosition;Risk,"Sep23 64,000 +7.56%; 1M +49.18%; 3M +17.43%",2026-27 revenue/profit growth expectations in cable/energy infrastructure,Recent acceleration,Foreign ownership declined across several recent sessions; short-term heat,Fresh score; Sep23 price/ownership; analyst forecast
US,META,WAIT_FOR_PULLBACK,MEDIUM_HIGH,Trend;Sustainability;PricePosition;Risk,Sep25 751.66 -3.33% after Sep24 52w high; 30D +30.57%,Muse launch has materially improved AI monetization expectations,First pullback after sharp surge,Still only ~3.6% below new high; post-surge reversal risk,Fresh scan rank; Reuters Muse context; Sep25 price history
US,INTC,WAIT_FOR_PULLBACK,MEDIUM,Trend;Sustainability;PricePosition;Risk,Sep24 127.39 after ~43% rise from Aug31 level,AI/server CPU narrative and broad chip rally,Very rapid September rise,Price history through Sep25 not fully verified; reversal risk,Fresh scan rank; price history through Sep24
US,AMZN,WATCH,MEDIUM,Trend;Sustainability;PricePosition;Risk,"Sep24 249.38, below late-Aug 266 area",AWS remains central to frontier-model cloud distribution,Consolidating below recent peak,Sep25 final close not independently verified in this run,Fresh scan rank; Sep24 price history; current AI-cloud context
