market,symbol,name,ai_state,confidence,evidence_axes,trend_evidence,sustainability_evidence,timing_price_position,risk_evidence,optional_indicator_status,review_note
KR,009150,삼성전기,SELECT_NOW,MEDIUM_HIGH,Trend;Sustainability;Timing;Risk,1m +14.34%; strong 20-day advance; institutional net buying,AI-server MLCC orders and Q3 profit outlook,Sep23 closed positive but data-source close discrepancy exists,rapid 2026 appreciation; valuation/overheat risk,STC/MS7 NOT REQUIRED,Price-source discrepancy prevents HIGH confidence
KR,000660,SK하이닉스,STABILIZING,MEDIUM_HIGH,Trend;Sustainability;Timing;Risk,1m +11.43%; 6m +88.84%; large liquidity,AI/HBM leadership remains structural,"Sep23 +1.20%, but gains faded from intraday high",3m drawdown; China DRAM competition risk,STC/MS7 NOT REQUIRED,"Strong structural trend, timing less clean"
KR,005930,삼성전자,STABILIZING,MEDIUM_HIGH,Trend;Sustainability;Timing;Risk,1w +12.62%; 1m +11.09%; 6m +50.50%,AI semiconductor demand and institutional buying,Sep23 +3.25% strong close,recent rapid advance; 3m return still negative,STC/MS7 NOT REQUIRED,Broad leadership but less selective upside than top candidate
KR,108490,로보티즈,STABILIZING,MEDIUM,Trend;Sustainability;Timing;Risk,1m +21.62%; 3m +17.81%; post-spike consolidation,humanoid/physical-AI expansion; Q2 improvement evidence,holding near 300k after early-Sep surge,"high valuation, high volatility, mixed full-year profitability",STC/MS7 NOT REQUIRED,Candidate retained but not top-select
KR,036930,주성엔지니어링,WATCH,MEDIUM,Trend;Sustainability;Risk,1m +26.20%; 3m +14.86%; 6m +170.67%,semiconductor capex exposure,positive Sep23,large prior run; chase/volatility risk,Timing module skipped,Needs deeper event/fundamental cross-check
KR,222800,심텍,WAIT_FOR_PULLBACK,MEDIUM,Trend;Sustainability;Risk,1m +42.11%; 6m +163.20%,electronics/AI component cycle exposure,strong recent breakout,overextension/chase risk,Timing module skipped,Trend good but price position unfavorable
KR,067310,하나마이크론,WAIT_FOR_PULLBACK,MEDIUM,Trend;Sustainability;Risk,1w +32.19%; 1m +33.91%,semiconductor cycle,recent large breakout,overextension/chase risk,Timing module skipped,Wait for consolidation
KR,062040,산일전기,WATCH,MEDIUM,Trend;Timing;Risk,1m +24.47%; 6m +34.49%,power infrastructure theme,Sep23 near flat,3m negative and choppy,Timing module skipped,Mixed trend horizons
KR,000990,DB하이텍,WATCH,MEDIUM,Trend;Timing;Risk,1m +51.55%; 6m +58.27%,semiconductor exposure,positive Sep23,prior sharp pullback and fast rebound,Timing module skipped,Evidence mixed
KR,042700,한미반도체,WATCH,LOW_MEDIUM,Trend;Risk,1m +16.51%,HBM equipment exposure,Sep23 +1.46%,3m and 6m negative,Timing module skipped,Longer trend not yet repaired
US,ANET,Arista Networks,SELECT_NOW,HIGH,Trend;Sustainability;Timing;Risk,~29.5% gain over latest 90-day window; price near but below 52w high,Q2 revenue +37.7% YoY; Q3 revenue guidance ~$3.3B; AI networking demand,"Sep25 latest accessible quote around 206-208, orderly near highs",customer concentration/supply/export risks,STC/60m NOT REQUIRED,"Best balance of momentum, fundamentals and price position"
US,V,Visa,SELECT_NOW,MEDIUM_HIGH,Trend;Sustainability;Timing;Risk,3m +11.36%; 1m -4.04% creates reset,"Q3 payment volume +10%, cross-border +13%; digital/onchain product expansion",pullback from 385.57 high toward low-360s then recovery around 367,slower momentum than AI leaders; workforce restructuring,STC/60m NOT REQUIRED,Good risk-adjusted continuation setup
US,CDNS,Cadence Design Systems,STABILIZING,MEDIUM_HIGH,Trend;Sustainability;Timing;Risk,Sep16-24 strong recovery from ~280 to 322,EDA exposure to advanced AI chips,multi-day rebound; still below 52w high,recovery may be too fast; latest Sep25 official close not independently confirmed,STC/60m NOT REQUIRED,Strong recovery but freshness limits confidence
US,GOOGL,Alphabet A,STABILIZING,MEDIUM_HIGH,Trend;Sustainability;Timing;Risk,latest accessible Sep25 quote ~343.85; 30d average ~341.94,AI/cloud scale and monetization,consolidating around 30d average,hyperscaler capex/debt concentration risk,STC/60m NOT REQUIRED,Balanced but momentum less differentiated
US,MU,Micron,WAIT_EVENT,MEDIUM_HIGH,Trend;Sustainability;Timing;Risk,strong memory/AI momentum near 1080,record Q3 and strong Q4 guide; next-gen server memory,near highs,Sep30 earnings plus Taiwan labor risk,STC/60m NOT REQUIRED,Excellent trend but event risk dominates timing
US,AMD,AMD,WAIT_FOR_PULLBACK,HIGH_TREND_LOW_TIMING,Trend;Sustainability;Timing;Risk,2026 return about +187.5%; record-high zone,AI compute demand and expanding platform role,Sep25 around 630 after sharp run,extreme overextension / chase risk,STC/60m NOT REQUIRED,Strongest trend but poor entry position
US,META,Meta Platforms,WAIT_FOR_PULLBACK,MEDIUM_HIGH,Trend;Sustainability;Timing;Risk,strong recent surge,Muse adoption may create new revenue engine,recent rapid advance,post-surge volatility and AI-related execution/security risk,STC/60m NOT REQUIRED,Need reset after sharp move
US,INTC,Intel,WAIT_FOR_PULLBACK,MEDIUM,Trend;Sustainability;Timing;Risk,very strong recent AI/CPU move,server CPU/AI narrative,rapid recent advance,extreme YTD move and reversal risk,STC/60m NOT REQUIRED,"High momentum, lower quality price position"
US,LLY,Eli Lilly,WATCH,MEDIUM,Trend;Sustainability;Risk,high L1 momentum/liquidity,strong pharma franchise,positive Sep24 snapshot,latest Sep25 deep validation incomplete,Timing module skipped,Not enough current evidence for top tier
US,TMO,Thermo Fisher,WATCH,MEDIUM,Trend;Sustainability;Risk,high L1 score/liquidity,life-science infrastructure quality,positive Sep24 snapshot,deep-history/current event validation incomplete,Timing module skipped,Not enough differentiated evidence
