시장,종목코드,종목명,생성형인공지능상태,신뢰도,근거축,추세근거,지속가능성근거,가격위치,위험,사용근거
미국,NVDA,엔비디아,현재 선정,높음,추세·지속가능성·가격위치·위험,"9월25일 225.07달러, 8월말 이후 완만한 상승·고점 부근 안정","최근 분기 매출 962억달러 +106%, 데이터센터 890억달러 +117%, 다음 분기 매출 전망 1080억달러",최근 최고권에 있으나 급등 직후 수직상승 상태는 아님,인공지능 투자집중·정책·가치평가 위험,최신 가격·거래량·공식 실적
미국,LLY,일라이릴리,현재 선정,높음,추세·지속가능성·가격위치·위험,"9월25일 1,183.46달러, 8월 고점에서 조정 후 회복","2분기 매출 230억달러 +48%, 연간 매출 전망 850~870억달러로 상향",고점 추격보다 조정 후 회복구간,비만치료제 경쟁·제품집중 위험,최신 가격·거래량·공식 실적
한국,000150,두산,현재 선정,중상,추세·지속가능성·가격위치·위험,"9월23일 1,512,000원, 최근 5거래일 연속 강세 흐름","인공지능 반도체·네트워크용 동박적층판에 약 9700억원 증설, 전자소재 이익기여도 높음",급반등 이후지만 최근 고점 돌파 직후 수직상승은 아님,7월말 이후 상승폭이 커 단기 조정 가능성,다기간 수익률·최신 종가·최근 투자·실적 기사
미국,GOOGL,알파벳 A,안정화,중상,추세·지속가능성·가격위치·위험,"9월25일 343.92달러, 9월 중순 이후 330~350달러대 등락",인공지능 기반 신제품 확대와 대규모 기반시설 투자,횡보·안정화 구간,반독점·인공지능 안전·대규모 투자비 위험,최신 가격·최근 인공지능 사업 기사
미국,AMZN,아마존,안정화,중상,추세·지속가능성·가격위치·위험,"9월25일 249.67달러, 8월말 266달러대에서 조정",클라우드 성장과 인공지능 서비스 확대,고점 대비 조정 후 횡보,대규모 설비투자와 현금흐름 부담,최신 가격·클라우드 사업 자료
한국,036930,주성엔지니어링,안정화,중상,추세·지속가능성·가격위치·위험,"9월23일 209,500원, 최근 일주일 19만원대 후반~20만원대 초반 유지",반도체 장비 업종 주도력,고점부근 유지 후 재가속 시도,6개월 상승폭 큼·외국인 수급 혼조,다기간 수익률·최신 종가·거래대금
한국,001820,삼화콘덴서,안정화,중간,추세·지속가능성·가격위치·위험,"9월23일 146,900원, 1개월 상승폭 큼",고용량 부품 수요 기대,급등 뒤 14만원대 유지,1개월 상승폭과 가치평가 불확실성,다기간 수익률·최신 종가
미국,AMD,에이엠디,조정 대기,중상,추세·지속가능성·가격위치·위험,최근 기록적 상승 뒤 고점권,인공지능 연산 수요,현재 가격위치가 과도하게 높음,추격·반전 위험,현재실행 점수·최신 시장맥락
미국,MU,마이크론,이벤트 대기,중상,추세·지속가능성·가격위치·위험,강한 메모리 상승 추세,고대역폭메모리 수요와 실적개선,고점권,9월30일 실적발표가 가까움,현재실행 점수·회사 일정
한국,222800,심텍,조정 대기,중간,추세·지속가능성·가격위치·위험,"9월23일 149,500원, 1개월 +42% 수준","2분기 매출·영업이익 큰 폭 개선, 인공지능 서버용 고부가기판 출하 증가","52주 고점 164,200원에 근접",단기상승폭·추격위험,다기간 수익률·최신 종가·실적 기사
