시장,종목코드,종목명,가격기준일,기준가격,추세점수,지속가능성점수,가격위치점수,위험점수,근거품질점수,4단계근거점수,상태,신뢰도,지속가능성근거,가격위치근거,핵심위험,사용근거,방법버전
미국,NVDA,엔비디아,2026-09-25,224.69,0.88,0.98,0.75,0.62,1,0.858000,현재 선정,높음,"2분기 매출 962억달러(+106%), 데이터센터 890억달러(+117%), 3분기 매출전망 1080억달러",52주 고점 236.54달러 대비 약 5% 아래,인공지능 투자집중·정책·높은 기대수준,엔비디아 공식 실적; Investing 가격,MSS7-S4-1.0.0
한국,103590,일진전기,2026-09-23,81700,0.82,0.94,0.86,0.68,0.9,0.849000,현재 선정,높음,"2분기 매출 6374억원(+21.9%), 영업이익 720억원(+91.5%), 상반기말 수주잔고 약 2.75조원","52주 고점 147,900원 대비 약 44.8% 아래",구리가격·원자재·수주집행 시점 위험,한국경제 9월23일 종가; 8월11일 실적 기사,MSS7-S4-1.0.0
미국,CSCO,시스코,2026-09-25,106.7,0.7,0.9,0.78,0.72,1,0.814000,현재 선정,중상,"4분기 매출 173억달러(+18%), 2026회계연도 인공지능 기반시설 주문 93억달러, 2027회계연도 관련 매출 75억달러 예상",최근 고점 112.95달러 대비 약 5.5% 아래,부품비용·하드웨어 중심 구성에 따른 총이익률 압박,시스코 공식 실적; FinanceCharts 가격,MSS7-S4-1.0.0
미국,PLTR,팔란티어,2026-09-25,189.67,0.82,0.92,0.52,0.55,1,0.771500,안정화,중상,"3분기 매출 전망 21.60~21.64억달러, 연간 매출 81.50~81.58억달러, 미국 상업매출 성장률 최소 134% 전망",최근 고점 194.68달러 대비 약 2.6% 아래,고점 근접·가치평가 부담,팔란티어 공식 투자자자료; FinanceCharts 가격,MSS7-S4-1.0.0
미국,HPE,휴렛팩커드 엔터프라이즈,2026-09-25,62.94,0.9,0.86,0.48,0.5,0.95,0.753500,안정화,중상,"클라우드·인공지능 매출 90억달러(+25.4%), 서버 매출 +35.3%, 연간 매출성장 전망 29~33%","52주 고점 65.65달러 대비 약 4.1% 아래, 연초 이후 상승폭 매우 큼",급격한 장기상승·인수통합·원가 위험,HPE 공식 실적; FinanceCharts 가격,MSS7-S4-1.0.0
미국,BAC,뱅크오브아메리카,2026-09-25,56.7,0.45,0.65,0.72,0.75,0.8,0.651500,관찰,중간,"2분기 실적 발표 완료, 3분기 실적은 10월14일 예정",최근 한달 고점 63.83달러 대비 약 11.2% 아래,최근 가격추세 약화·금리민감도,뱅크오브아메리카 공식 일정·실적; FinanceCharts 가격,MSS7-S4-1.0.0
미국,TSLA,테슬라,2026-09-25,372.7,0.62,0.6,0.7,0.4,0.95,0.647500,관찰,중간,"2분기 차량 인도 480,126대, 에너지저장 13.5GWh","52주 고점 498.83달러 대비 약 25.3% 아래, 30일 +7.9%",중국 성장둔화·경쟁·법적 위험·변동성,테슬라 공식 자료; Reuters; FinanceCharts,MSS7-S4-1.0.0
한국,003490,대한항공,2026-09-23,31500,0.78,0.78,0.28,0.58,0.9,0.668000,조정 대기,중상,"2분기 매출 5조199억원(+25.9%), 화물매출 +46.1%, 3분기 실적 개선 기대",최근 52주 신고가권 접근,유가·환율·지정학 변동,한국경제 실적·9월23일 기사; 시장 원자료,MSS7-S4-1.0.0
한국,131290,티에스이,2026-09-23,289000,0.85,0.78,0.55,0.35,0.8,0.690000,조정 대기,중간,"2분기 실적 서프라이즈와 반도체 업종 반등, 최근 외국인 보유비중 변화","52주 고점 318,500원 대비 약 9.3% 아래","PER 약 79.7배, 일부 컨센서스 목표가가 현재가보다 낮아 가치평가 부담",한국경제·매일경제 9월23일 시장자료,MSS7-S4-1.0.0
한국,010170,대한광통신,2026-09-23,17700,0.8,0.55,0.5,0.42,0.65,0.598000,관찰,중하,광통신·우주항공 관련 수요 기대는 존재하나 최신 확정 실적 근거가 상대적으로 약함,"최근 1개월 +34.6%, 6개월 +114.5%",테마성·단기과열·실적가시성 부족,매일경제 시장자료; 시장 원자료,MSS7-S4-1.0.0
